users,tweets,target
depressingmsgs, im just so tire of thi my bodi is tire my mind is a mess i just realli want to lay in bed and never get up im just so tire of life,2
depressingmsgs, sometim im disappoint in myself becaus i know im better than the choic i make and the thing i choos to deal with,2
depressingmsgs, you can onli be so strong for so long until you reach a point where you break physic mental emot,2
depressingmsgs, my biggest mistak ever is think that peopl care for me as much as i do for them but in realiti it almost alway one side,2
depressingmsgs, i dont tweet for sympathi or attent i express my thought and feel thi is my outlet where i can say stuff without feel judg,1
depressingmsgs, when i die dont go to my grave and sit there tell me how much you love and miss me those are the thing i need to hear when i wa aliv,3
depressingmsgs, i truli feel like everyth i say or do is alway wrong like im a total disappoint to everyon and all i ever do is let peopl down,2
depressingmsgs, i overthink a lot im sensit and clingi but i realli do tri my hardest to be good enough so im sorri if that not enough,2
depressingmsgs, do you ever just sit there and realiz that you mean noth to anyon and you start feel lost alon and unlov and truli unwant,3
depressingmsgs, she pretend like noth happen becaus she want peopl to see her strong onli she know how pain emotionali mental she realli is,2
depressingmsgs, be sad for no reason is wors than be sad for a reason becaus there absolut noth you can do to make yourself feel better,2
depressingmsgs, i prefer to distanc myself whenev im mad becaus i turn into the most heartless person youll ever meet and your go hate me for that,2
depressingmsgs, everi singl time i put myself back togeth again i watch myself fall apart onc again and everi singl time is wors than the time befor,2
depressingmsgs, im sorri for be annoy when i want to talk needi caus i miss you emot when i care and insecur becaus im afraid to lose you,2
depressingmsgs, whi are you sad i dont know no reason oh no there are plenti of reason im just not realli sure which one it is thi time,2
depressingmsgs, do you ever feel ok but your sad at the same time you just want to talk to someon and hug them but you feel annoy so you just stay quiet,2
depressingmsgs, she might be laugh but deep insid she hurt she tri to get her mind off thing that make her upset by pretend to be fine,2
depressingmsgs, growingupwithanxieti i liter notic the smallest of chang in how peopl treat me and i overthink into think everyon hate me,2
depressingmsgs, growingupwithanxieti you unintent make yourself sad you feel alon even when your not and sometim you dont even know what wrong,2
depressingmsgs, growingupwithanxieti peopl think your rude or alway in a bad mood,2
depressingmsgs, it easier just to say im fine when somebodi ask if you are okay becaus sometim it not possibl to explain whi you arent,3
depressingmsgs, do you ever just make up scenario in your head that you know will never happen but it make you so happi so you just keep on imagin them,2
depressingmsgs, oh ok actual mean my heart just got rip into a million piec but i wont tell you becaus you wouldnt care how i feel anyway,2
depressingmsgs, i never realli know where i stand in some peopl life one minut they treat me like im someth special then noth the next,1
depressingmsgs, the worst feel is when you find out you didnt mean as much to someon as you thought you did and you look so stupid for care too much,2
depressingmsgs, do you ever feel ok but your sad at the same time you just want to talk to someon and hug them but you feel annoy so you just stay quiet,2
depressingmsgs, i hate get so sad to the point where my bodi complet shut down and all i can do is just lay there and think about all my problem,2
depressingmsgs, everi night i think about all the mistak ive made and how much i regret make those decis becaus my life could have been differ,2
depressingmsgs, the worst type of cri is at night when everyon asleep and you have to control it with your hand over your mouth to not make a sound,2
depressingmsgs, sometim it better to keep silent than to tell other how you feel becaus it hurt know they can hear you but not understand you,2
depressingmsgs, i hate get flashback from thing you dont want to rememb it feel like your heart suddenli drop and anxieti start take you over,2
depressingmsgs, i truli feel like everyth i say or do is alway wrong like im a total disappoint to everyon and all i ever do is let peopl down,2
depressingmsgs, im sorri i have trust issu but when you give someon everyth and they toss it away like noth someth insid of you break,2
depressingmsgs, do you ever feel physic sick becaus you know your not good enough for anyon and cant do anyth right no matter how hard you tri,2
depressingmsgs, i need someon who will understand how unstabl i am sometim be alon can be danger for me but other time it exactli what i need,3
depressingmsgs, im just so tire of thi my bodi is tire my mind is a mess i just realli want to lay in bed and never get up im just so tire of life,2
depressingmsgs, my onli relief is to sleep when im sleep im not sad im not angri im not scare im not hurt im not lone im just noth,2
depressingmsgs, im disappoint in myself becaus i know im better than the choic i keep make and the thing i choos to deal with,2
depressingmsgs, i hate thi feel like im here but im notlik someon care but they dont it like i belong somewher anywher but here,2
depressingmsgs, have you ever want to cri but no tear came out so you just stare blankli into space while feel your heart break into a million piec,2
depressingmsgs, i feel myself chang i dont laugh the same anymor i dont smile the same or talk the same im just so tire and mental exhaust,2
depressingmsgs, i think im afraid to be happi becaus whenev i get too happi someth bad alway happen,1
depressingmsgs, pain chang peopl it make them trust less overthink more and shut peopl out,2
depressingmsgs, noth hurt more then be ignor replac forgotten lie to,2
depressingmsgs, i prefer to distanc myself whenev im mad becaus i turn into the most heartless person youll ever meet and your go hate me for that,2
depressingmsgs, you think youre do okay and then suddenli its a nighttim and youre alon and youre not realli sure how to distract yourself anymor,1
depressingmsgs, social anxieti suck you unintent make yourself sad you feel alon even when your not and sometim you dont even know what wrong,2
depressingmsgs, all the thing i did wrongi reli on someon for my happii love peopl more than i love myselfi never ask for help,2
depressingmsgs, we hide behind a fake smile to mask the pain but sometim we wish someon would look close enough and see how broken we realli are insid,2
depressingmsgs, type haha when you cant even smile act like your happi when all you want to do is cri tell everyon your okay when your not,1
depressingmsgs, im sorri for be annoy when i want to talk needi caus i miss you emot when i care and insecur becaus im afraid to lose you,2
depressingmsgs, do you ever feel the need to ask someon if they actual still want you in their life becaus it alway feel like they dont realli care,2
depressingmsgs, she took a deep breath and close her eye want to scream out so loud but with all the strength she had she kept everyth insid,3
depressingmsgs, you smile but all you want is to cri you talk but you realli just want to be quiet you pretend like your happi but you realli arent,2
depressingmsgs, that worthless feel where you should just lock yourself in a dark room becaus everyth you do or say just seem to piss peopl off,2
depressingmsgs, she scare to get to close to anyon anymor becaus everyon who promis her they would stay turn their back on her and walk away,2
depressingmsgs, have you ever been in one of those mood where you dont realli know what wrong but you feel realli irrit with everyon and everyth,2
depressingmsgs, do you ever write a realli long messag and about halfway through your like you know what they dont even care and end up delet it,2
depressingmsgs, im scare to get close to peopl becaus i think they will eventu walk out of my life no matter how close we are becaus they alway do,2
depressingmsgs, have you ever want to cri but no tear came out so you just stare blankli into space while feel your heart break into a million piec,2
depressingmsgs, i cannot make you understand i cannot make anyon understand what is happen insid me i cannot even explain it to myself,3
depressingmsgs, shes hurt mental and emot but everyday she walk with a smile becaus thats who she is the girl who never stop smile,2
depressingmsgs, when im hurt i shut down i turn into a total bitch i shut off my emot i act differ toward everyth and everyon and i hate it,2
depressingmsgs, so mani peopl in thi world have trust issu becaus peopl say im here for you and then run away as soon as thing start to fall apart,2
depressingmsgs, just becaus her eye dont tear up doesnt mean her heart doesnt cri and just becaus she come off strong doesnt mean noth is wrong,3
depressingmsgs, hate get flashback from thing you dont want to rememb it feel like your heart suddenli drop and anxieti start take over վou,2
depressingmsgs, when i cri about one thing i end up cri about everyth that mess up in my life,2
depressingmsgs, it realli suck want to talk to someon but you realli dont want to annoy anyon becaus they seem total fine without you,1
depressingmsgs, everyth is chang and i dont know where i fit anymor,1
depressingmsgs, they say it will get better but it a lie it doesnt get better you just get use to it,2
depressingmsgs, it pain to say goodby to someon you dont want to let go but more pain to ask someon to stay when you know they want to leav,2
depressingmsgs, i hate the fact that i cri when im angri and that the worst thing ever becaus your tri to act tough and mean but instead you cri,3
depressingmsgs, the worst sad is the sad youv taught yourself to hide,2
depressingmsgs, everi night i convinc myself tomorrow will be differ but it never is,1
depressingmsgs, my biggest problem is overthink everyth,1
depressingmsgs, you smile but you want to cri you talk but you just want to be quiet and you pretend that your happi but you arent,2
depressingmsgs, im the type of person that one thing can chang my mood complet and i can go from confid to insecur in a matter of second,2
depressingmsgs, im a paradox neither happi or sad i smile at pretti thing laugh at funni thing but at night i becom a mess of emot and thought,2
depressingmsgs, im just so tire of thi my bodi is tire my mind is a mess i just realli want to lay in bed and never get up im just so tire of life,2
depressingmsgs, have you ever just randomli start cri becaus youv been hold in all of these emot and pretend to be happi for way too long,2
depressingmsgs, it hurt so much when you can feel yourself becom less and less import to the one person who truli mean the most to you,2
depressingmsgs, she might be laugh but deep insid she hurt she tri to get her mind off thing that make her upset by pretend to be fine,2
depressingmsgs, pain chang peopl it make them trust less overthink more and shut peopl out,2
depressingmsgs, have you ever realli want to ask a question but you didnt becaus you knew in your heart that you wouldnt be abl to handl the answer,3
depressingmsgs, youv chang tri go through what ive gone through and then see if your the same pain chang peopl it make it harder to trust,2
depressingmsgs, physic mental emot tire,1
depressingmsgs, just becaus her eye dont tear up doesnt mean her heart doesnt cri and just becaus she come off strong doesnt mean noth is wrong,3
depressingmsgs, it sad nobodi ever know how much someon is actual hurt someon right next to you could be complet broken and you wouldnt know,1
depressingmsgs, your so afraid to tell peopl how you feel becaus you fear reject so you buri it deep insid yourself where it onli destroy you more,1
depressingmsgs, my problem is that i start depend on peopl for my happi and when they leav like they alway do they take my happi with them,1
depressingmsgs, everi night i think about all the mistak ive made and how much i regret make those decis becaus my life could have been differ,2
depressingmsgs, how pain is it to say im fine to the person who the reason your broken,2
depressingmsgs, she pretend like noth happen becaus she want peopl to see her strong onli she know how pain emotionali mental she realli is,2
depressingmsgs, i think im afraid to be happi becaus whenev i get too happi someth bad alway happen,1
depressingmsgs, im just so tire of thi my bodi is tire my mind is a mess i just realli want to lay in bed and never get up im just so tire of life,2
depressingmsgs, one minut everyth is okay and the next i have no idea what go on,3
depressingmsgs, the worst feel is feel unwant by the person you need the most,2
depressingmsgs, i hate get so sad to the point where my bodi complet shut down and all i can do is just lay there and think about all my problem,2
depressingmsgs, it realli hurt when someon is not in the mood to talk to you but when it come to someon els they act like the happiest person aliv,2
depressingmsgs, the worst type of cri is at night when everyon asleep and you have to control it with your hand over your mouth to not make a sound,2
depressingmsgs, it scari that you never realli know what someon is think or feel toward you and everyth that they say could be one massiv lie,2
depressingmsgs, all i ever want is for someon to not give up on me no matter how much i screw up and no matter how much i push them away they will stay,1
depressingmsgs, im so sorri for all the peopl that have to deal with my constant up and down mood daili,2
depressingmsgs, i never realli know where i stand in some peopl life one minut they treat me like im someth special then noth the next,1
depressingmsgs, how mani time have you type im okay while cri,1
depressingmsgs, she scare to get to close to anyon anymor becaus everyon who promis her they would stay turn their back on her and walk away,2
depressingmsgs, it easier just to say im fine when somebodi ask if you are okay becaus sometim it not possibl to explain whi you arent,3
depressingmsgs, you think youre do okay and then suddenli its a nighttim and youre alon and youre not realli sure how to distract yourself anymor,1
depressingmsgs, im sorri i cant live up to your expect im sorri i cant be normal like everyon els im sorri im not as good as everyon els,3
depressingmsgs, i cant stand how quickli my mood chang it effect my whole life becaus nobodi understand me and peopl just get realli annoy with me,1
depressingmsgs, dont come to my graveston and display emot which you never onc show to me while i wa breath becaus that couldv kept me aliv,1
depressingmsgs, have you ever been in one of those mood where you dont realli know what wrong but you feel realli irrit with everyon and everyth,2
depressingmsgs, have you been so sad and tire and want to be alon but at the same time you realli wish there wa someon who you could talk to who care,2
depressingmsgs, im the girl who pretend peopl word dont hurt me just so they dont know how sensit i realli am,2
depressingmsgs, have you ever want to cri but no tear came out so you just stare blankli into space while feel your heart break into a million piec,2
depressingmsgs, i dont realli think peopl understand how stress it is to explain what go on in your head when you dont even understand yourself,3
depressingmsgs, the worst sad is the sad youv taught yourself to hide,2
depressingmsgs, it hurt like hell when you know that you need to let go of someon but you cant becaus your still wait for the imposs to happen,2
depressingmsgs, i hate get close to peopl these day i alway regret share too much care too much do too much and feel too much,2
depressingmsgs, it kinda sad when you realiz the person you use to tell everyth to now ha no idea of whats happen with your life,2
depressingmsgs, we hide behind a fake smile to mask the pain but sometim we wish someon would look close enough and see how broken we realli are insid,2
depressingmsgs, i hate that feel when youre not necessarili sad but you just feel realli empti,2
depressingmsgs, noth hurt more then be ignor replac forgotten lie to,2
depressingmsgs, pleas dont expect me to alway be good and kind and love there are time when ill be cold and thoughtless and realli hard to understand,3
depressingmsgs,are you okaymeno but its okay ,1
depressingmsgs, ive disappoint a lot of peopl thi year but believ me when i say there no one ive disappoint more than myself,2
depressingmsgs, my thought alway destroy my mood,1
depressingmsgs, she just broken and probabl cri herself to sleep almost everi night although she tell you she do fine and she okay but she not,1
depressingmsgs, it unbeliev how fast peopl can chang one day you mean everyth the next day you dont exist anymor,3
depressingmsgs, when youre ignor by someon whose attent mean the most to you is the worst feel you start to over think and it eat away at you,2
depressingmsgs, im just so tire tire of never be good enough tire of get put down tire of cri tire of insecur tire of be tire,1
depressingmsgs, do you ever feel ok but your sad at the same time you just want to talk to someon and hug them but you feel annoy so you just stay quiet,2
depressingmsgs, i realli hate when i say thing without think i alway end up hate myself a littl more each time know i might of upset someon,2
depressingmsgs, that feel when you can actual feel the pain in your chest from hear someth or see someth that realli break your heart,2
depressingmsgs, im liter so tire of be nice to peopl and go out of my way to make sure theyr okay and happi just to be treat like shit,2
depressingmsgs, i hate when i cri about one thing then i end up cri about everyth that mess up in my life,2
depressingmsgs, i truli feel like everyth i say or do is alway wrong like im a total disappoint to everyon and all i ever do is let peopl down,2
depressingmsgs, you dont know pain until you are stare at the mirror with tear stream down your face beg yourself to just hold on and be strong,2
depressingmsgs, do you ever feel physic sick becaus you know your not good enough for anyon and cant do anyth right no matter how hard you tri,2
depressingmsgs, physic mental emot tire,1
depressingmsgs, im sorri for be annoy when i want to talk needi caus i miss you emot when i care and insecur becaus im afraid to lose you,2
depressingmsgs, when im hurt i shut down i turn into a total bitch i shut off my emot i act differ toward everyth and everyon and i hate it,2
depressingmsgs, youv chang tri go through what ive gone through and then see if your the same pain chang peopl it make it harder to trust,2
depressingmsgs, it sad that we can find thousand of peopl on twitter who understand and feel the same way we do but in everyday life we have no one,2
depressingmsgs, have you ever felt like you want to cri in the middl of the night without know which one of the reason it is that make you want cri,2
depressingmsgs, you cant just break someon into a million piec and treat them like crap and then expect them to be okay just becaus you say im sorri,1
depressingmsgs, ive alway been afraid of lose peopl i love sometim i wonder if there is anyon out there afraid to lose me,3
depressingmsgs, mayb im better of alon becaus no one ha ever love me the way i love them and i have never felt like anyon want me or need me at all,1
depressingmsgs, the worst type of cri is the silent one the one where you realli have to hold your breath and grab your stomach just to keep quiet,2
depressingmsgs, she pretend like noth happen becaus she want peopl to see how strong she is onli she know how pain and emot she realli is,2
depressingmsgs, when i say im okay i want someon to look me in the eye hug me tight and say i know your not,3
depressingmsgs, when someon stop talk to me the way they use to i sit and stress myself think if everyth els we share togeth wa just a lie,2
depressingmsgs, everi time i think about how stress i am i get even more stress so it like a never end stress cycl i cant seem to break free from,1
depressingmsgs, how is it possibl that someon can hurt you repeatedli and you still care for them so much,2
depressingmsgs, you dont realiz how lone you are until it the end of the day and you have a bunch of thing to talk about but no one to tell them to,2
depressingmsgs, your twitter is one of those thing that you want everyon to see but at the same time you never want to show it to anyon,1
depressingmsgs, that embarrass moment when you have to quickli wipe away your tear put a fake smile on becaus you hear someon come in to the room,2
depressingmsgs, do you ever have one of those day where noth goe wrong but you feel like you hate the world and you just feel like break down cri,2
depressingmsgs, that worthless feel where you should just lock yourself in a dark room becaus everyth you do or say just seem to piss peopl off,2
depressingmsgs, im just so tire of thi my bodi is tire my mind is a mess i just realli want to lay in bed and never get up im just so tire of life,2
depressingmsgs, when youv been sad for so long that when someth bad happen you dont cri you just sit there and feel numb,2
depressingmsgs, depress isnt alway the girl cri in the bathroom or wear long sleev sometim it the girl with the biggest smile on her face,2
depressingmsgs, we hide behind a fake smile to mask the pain but sometim we wish someon would look close enough and see how broken we realli are insid,2
depressingmsgs, those teenag who sit in their room at night cri themselv to sleep were onc children with light in their eye and hope in their heart,2
depressingmsgs, im offici done tri if you want me in your life you can come find me until then continu treat me like i dont exist,2
depressingmsgs, i get so sad i get insecur i get jealou i get lone i i overreact and i make mistak but ipromis i will alway give you my loyalti,2
depressingmsgs, it hurt so much when you can feel yourself becom less and less import to the one person who reay mean the most to you,2
depressingmsgs, all i ever want is for someon to not give up on me no matter how much i screw up and no matter how much i push them away they will stay,1
depressingmsgs, it funni how you think your do fine but then one littl thing remind you of the past and it all come back and slap you in the face,2
depressingmsgs, do you ever feel the need to ask someon if they actual still want you in their life becaus it alway feel like they dont realli care,2
depressingmsgs, what happen we just stop talk,2
depressingmsgs, ive disappoint a lot of peopl thi year but believ me when i say there no one ive disappoint more than myself,2
depressingmsgs, im sorri i have trust issu but when you give someon everyth and they just toss it away like noth someth insid of you break,2
depressingmsgs, im a paradox neither happi or sad i smile at pretti thing laugh at funni thing but at night i becom a mess of emot and thought,2
depressingmsgs, i alway overus the word tire becaus i cant find a better word to describ how i feel and that is liter the onli thing i feel,2
depressingmsgs, im the type of person that one thing can chang my mood complet and i can go from confid to insecur in a matter of second,2
depressingmsgs, when i die dont come to my grave sit there tellin me how much you love and miss me those are the thing i need to hear when i wa aliv,3
depressingmsgs, the worst feel is when you find out you didnt mean as much to someon as you thought you did and you look so stupid for care too much,2
depressingmsgs, when im hurt i shut down i turn into a total bitch i shut off my emot i act differ toward everyth and everyon and i hate it,2
depressingmsgs, when i am upset and i want to talk to someon about it i realis they probabl wouldnt care or know what to say so i keep it all insid,2
depressingmsgs, your the person that wont ask for help would never tell your parent what wrong but your the one that need help the most i know,2
depressingmsgs, i wish someon wa afraid to lose me im alway scare of lose peopl that i love but i doubt anyon would fight to keep me in their life,2
depressingmsgs, silenc doesnt alway mean ye sometim it mean im tire of explain to peopl who dont even care to understand,3
depressingmsgs, it hurt like hell when you know that you need to let go of someon but you cant becaus your still wait for the imposs to happen,2
depressingmsgs, i realli just need a day off from realiti just a day without peopl problem and all the bullshit that constantli run through my mind,2
depressingmsgs, i alway act like im fine and everyon think im okay but when the light are off and im all alon that when my tear start to fall,1
depressingmsgs, have you ever been in one of those mood where you dont realli know what wrong but you feel realli irrit with everyon and everyth,2
depressingmsgs, your so afraid to tell peopl how you feel becaus you fear reject so you buri it deep insid yourself where it onli destroy you more,1
depressingmsgs, shes hurt mental and emot but everyday she walk with a smile becaus thats who she is the girl who never stop smile,2
depressingmsgs,are you okaymeno but its okay ,1
depressingmsgs, that sick feel when you can actual feel the pain in your chest from hear someth or see someth that realli break your heart,2
depressingmsgs, im just so tire tire of never be good enough tire of get put down tire of cri tire of insecur tire of be tire,1
depressingmsgs, i hate get flashback from thing you dont want to rememb it feel like your heart suddenli drop and anxieti start take over you,2
depressingmsgs, she jealou becaus she care she accus you caus she been hurt she ask the same question becaus she need reassur she care,2
depressingmsgs, that feel when you can actual feel the pain in your chest from hear someth or see someth that just realli break your heart,2
depressingmsgs, i need someon who will understand how unstabl i am sometim be alon can be danger for me but other time it exactli what i need,3
depressingmsgs, have you ever want to cri but no tear came out so you just stare blankli into space while feel your heart break into a million piec,2
depressingmsgs, do you ever feel ok but your sad at the same time you just want to talk to someon and hug them but you feel annoy so you just stay quiet,2
depressingmsgs, whi are you sad i dont know no reason oh no there are plenti of reason im just not realli sure which one it is thi time,2
depressingmsgs, i need someon in my life who care about me as much as i care about them becaus im so tire of alway be the one who care more,2
depressingmsgs, have you ever just randomli start cri becaus youv been hold in all of these emot and pretend to be happi for way too long,2
depressingmsgs, type haha when you cant even smile act like your happi when all you want to do is cri tell everyon your okay when your not,1
depressingmsgs, i truli feel like everyth i say or do is alway wrong like im a total disappoint to everyon and all i ever do is let peopl down,2
depressingmsgs, onc youv been hurt you get scare to get attach again becaus your alway think everyon you love will alway end up hurt you,2
depressingmsgs, im just so tire of thi my bodi is tire my mind is a mess i just realli want to lay in bed and never get up im just so tire of life,2
depressingmsgs, she just broken and probabl cri herself to sleep almost everi night although she tell you she do fine and she okay but she not,1
depressingmsgs, mayb im better of alon becaus no one ha ever love me the way i love them and i have never felt like anyon want me or need me at all,1
depressingmsgs, it realli hurt when you care so much about someon and get so attach to them and one day they just turn around and leav like noth,2
depressingmsgs, do you ever write a realli long messag and about halfway through your like you know what they dont even care and end up delet it,2
depressingmsgs, it suck doesnt it feel like your not good enough no matter how hard you tri,2
depressingmsgs, she hide all her problem behind a smile behind her smile is a world of pain and hurt you think you know her but you realli have no idea,2
depressingmsgs, it realli hurt when someon is not in the mood to talk to you but when it come to someon els they act like the happiest person aliv,2
depressingmsgs, be sad for no reason is wors than be sad for a reason becaus there absolut noth you can do to make yourself feel ani better,2
depressingmsgs, the worst type of cri is at night when everyon asleep and you have to control it with your hand over your mouth to not make a sound,2
depressingmsgs, so mani peopl in thi world have trust issu becaus peopl say im here for you and then run away as soon as thing start to fall apart,2
depressingmsgs, im so tire im stress and im sad everyth hurt im about to break down and i know i should be stronger than thi but im not,2
depressingmsgs, im scare to get close to peopl becaus i think they will eventu walk out of my life no matter how close we are becaus everyon leav,2
depressingmsgs, i prefer to distanc myself whenev im in a bad mood becaus ill becom the most heartless person youll ever meet,2
depressingmsgs, have you ever want to cri but no tear came out so you just stare blankli into space while feel your heart break into a million piec,2
depressingmsgs, do you ever just stay up all night long think about your mistak and regret for not say the thing that you should have said i do,3
depressingmsgs, im liter so tire of be nice to peopl and go out of my way to make sure theyr okay and happi just to be treat like shit,2
depressingmsgs, im sorri for be annoy when i want to talk needi becaus i miss you emot when i care and insecur becaus im afraid to lose you,2
depressingmsgs, i have so much on my mind but i end up say noth at all,1
depressingmsgs, my onli relief is to sleep when im sleep im not sad im not angri im not scare im not hurt im not lone im just noth,2
depressingmsgs, when your actual feel good for a moment becaus everyth seem to be go okay and then someth happen and boom sad again,2
depressingmsgs, i hate when i cri about one thing then i end up cri about everyth that mess up in my life,2
depressingmsgs, when youre ignor by someon whose attent mean the most to you is the worst feel you start to over think and it eat away at you,2
depressingmsgs, the worst type of cri is the silent one the one where you have to hold your breath and grab your stomach to keep quiet,2
depressingmsgs, im a realli hard person to understand i have major issu with talk about all my feel and thought and im realli sorri im tri,2
depressingmsgs, do you ever just sit there and realiz that you mean noth to anyon and you start feel lost alon and unlov and truli unwant,3
depressingmsgs, i wish someon wa afraid to lose me im alway scare of lose peopl that i love but i doubt anyon would fight to keep me in their life,2
depressingmsgs, do you ever feel the need to ask someon if they actual still want you in their life becaus it alway feel like they dont realli care,2
depressingmsgs, when i die dont come to my grave sit there tellin me how much you love and miss me those are the thing i need to hear when i wa aliv,3
depressingmsgs, she pretend like noth happen becaus she want peopl to see her strong onli she know how pain emotionali mental she realli is,2
depressingmsgs, the worst feel is when you find out you didnt mean as much to someon as you thought you did and you look so stupid for care too much,2
depressingmsgs, that embarrass moment when you have to quickli wipe away your tear put a fake smile on becaus you hear someon come in to the room,2
depressingmsgs, when im hurt i shut down i turn into a total bitch i shut off my emot i act differ toward everyth and everyon and i hate it,2
depressingmsgs, have you ever been in one of those mood where you dont realli know what wrong but you feel realli irrit with everyon and everyth,2
depressingmsgs, it hurt when you go through someth that kill you insid but you have to act like it doesnt affect you at all,2
depressingmsgs, when i am upset and i want to talk to someon about it i realis they probabl wouldnt care or know what to say so i keep it all insid,2
depressingmsgs, im sorri i have trust issu but when you give someon everyth and they toss it away like noth someth insid of you just break,2
depressingmsgs, youv chang tri go through what ive gone through and then see if your the same pain chang peopl it make it harder to trust,2
depressingmsgs, i alway overus the word tire becaus i cant find a better word to describ how i feel and that is liter the onli thing i feel,2
depressingmsgs, have you ever been so sad that it physic hurt,2
depressingmsgs, im truli sorri i get sad over noth im sorri i feel everyth at onc im realli sorri im so screw up im sorri i mess everyth up,2
depressingmsgs, what if twitter tweet your thought without permiss wed all be in the shit,2
depressingmsgs, ive disappoint a lot of peopl thi year but trust me when i say there no one ive disappoint more than myself,2
depressingmsgs, ive tri so hard to make myself a better person but for some reason im never enough,2
depressingmsgs, im sorri that im not everyth you want and im sorri that my best isnt good enough im sorri that everyth i do disappoint you,2
depressingmsgs, type haha when you cant even smile act like your happi when all you want to do is cri tell everyon your okay when your not,1
depressingmsgs, im a paradox neither happi or sad i smile at pretti thing laugh at funni thing but at night i becom a mess of emot and thought,2
depressingmsgs, i need someon who will understand how unstabl i am sometim be alon can be danger for me but other time it exactli what i need,3
depressingmsgs, depress isnt alway suicid note and pill bottl sometim it all smile and fake laughter depress isnt alway easi to notic,2
depressingmsgs, pain chang peopl it make them trust less overthink more and shut peopl out,2
depressingmsgs, do you ever feel the need to ask someon if they actual still want you in their life becaus it alway feel like they dont realli care,2
depressingmsgs, im the type of person that one thing can chang my mood complet and i can go from confid to insecur in a matter of second,2
depressingmsgs, do you ever miss the person that you use to be befor you got your heart broken befor you lost someon or befor your famili fell apart,3
depressingmsgs, whi are you sad i dont know anymor,2
depressingmsgs, be ignor hurt like hell and it make me think i did someth wrong then i start to over think everyth,2
depressingmsgs, it kinda sad when you realiz the person you use to tell everyth to now ha no idea of whats happen with your life,2
depressingmsgs, do you ever feel ok but your sad at the same time you just want to talk to someon and hug them but you feel annoy so you just stay quiet,2
depressingmsgs, instead of tell you how i feel i sit on twitter and post tweet about it,2
depressingmsgs, i have so much on my mind but i end up say noth at all,1
depressingmsgs, oh sorri i forgot i onli exist when you need someth,3
depressingmsgs, some peopl suddenli chang one day your import next day your worthless,1
depressingmsgs, have you ever just randomli start cri becaus youv been hold in all of these emot and pretend to be happi for way too long,2
depressingmsgs, it suck doesnt it feel like your not good enough no matter how hard you tri,2
depressingmsgs, i destroy myself so you couldnt,3
depressingmsgs, sleep is so hard when you cant stop think,2
