id,tweet,hs_label
98,قلتله مسامحه اني كلمه وقالها لساني بقلبي شي ثاني تعبانه وخسرني,0
99,قصه عشق احلا موقع مسلسلات,0
100,يا شين الخليجي اذا مهند,0
101,وش قله الادب,0
102,تعبت الوزن الزاءد تريد تنحف راسلني خاص وابعت وزنك وطولك الحل,0
103,وش يا مطحون,0
104,لسه بتاوح,0
105,الحمدلله والشكر افتكينا خرفان ايفانكا جونا خرفان بايع الكليجا,0
106,وتت قاع يقذف,0
107,مظنش متزوج بقاله يتزوج الرابعه,0
108,كنا مغشوشيين باخلاقهم ومذهبهم الدموي,3
109,بعيد سوء كلامه ترفعه المراه يحسن سلوكياته وتصرفاته مشيته كنه بنت وتصرفاته ورقصه,0
110,فضحتينا,0
111,اتعس شي المباراه وانت خسران مغبون تشوفه ينزل الملعب يسلم اللاعبين يتبوسم الوضع طبيعي,0
112,يع خلاص تومتش,0
113,والله يعينش نفسش,0
114,فعلا اععععع,0
115,هههههههههههههههه خلاص ماراح انام بدري,0
116,اههاا يعني يالحريم خقو تراي ياكثرهم,0
117,ان حق انا حق بتجي فيكك قذر,0
118,اسوء الرجال يتحدث محبوبتنه للاخرين ليجعل فريسه سهله,0
119,بقا,0
120,الواضح انه,0
121,الهندي قاعد يثبت للمعزب الخروف صديقه يذبحه,1
122,كبيه الله لايسامحه كلب يعاملنا انحن دجاج,0
123,الله ينقص ويزيد,0
124,احسن,0
125,صوت اللي تصور,0
126,طيب ليش حاطه التسليم الدفع المفروض ادفع بعدين استلم طريقتها مضحكه غبيه,0
127,انا مش عارفه اي عدم الحياء الي الناس بقت ده,0
128,عنز,0
129,هههههههههههههههههههههههههههههههههههههههههههه خططي وارسمي لاتخلينه يضيع,0
130,اي,0
131,يالله خير الواحد يرسل شي جميل تخيل تبدا يومك بالاهلي اي شوم بالله الاهلي,0
132,غالبيتكم عملاء الاحتلال جاثم رءوسكم,3
133,يسوي انا المز,0
134,نتعوذ الشيطان,0
135,اداع حسابك اقروا الرقم زين وقولوا امين بلاش حسد,0
136,اللي يشوف كلام هيلاري يحط بفم واحد ينكر وجود مءامرات ضد دولتنا والدول المجاوره ان تنتهي مءامره تكون دسته مءامرات جاهزه ضدنا طبعا اذنابهم تعتبرهم الاستثمار الحقيقي المدا البعيد الاعتراف الحقيقي بخلق داعش ومساعده الاخونج اللعنه جميعا,3
137,يا الله بختنق,0
138,خلاص اشغلتنا,0
139,سحبتوا جاء شي الايميل,0
140,يستااااار,0
141,ايفانكا ندري طقطقه ولاهي داريه هوا دارهم اللي يستحون سعوووووودي احرجوه واحرجوا اهله منجد ان تستح فافعل ماتشاء تربيه,0
142,والله مافيه مسعورين زي العيال,0
143,انتي ماقلتي شي بهالمناسبه,0
144,تاريخهم اسود يومهم الله يجعلهم واردا,0
145,زعلت زياده ماشفت وجهك كثير,0
146,مش وكده روحت الجامعه اكتشفت ان انا محضر جدول التلات مش الاتنين وعليا النهارده رسم,0
147,الحمدالله اني مو قطريه,1
148,طيب لاتصيحح يا اخوي ترا الدعوه كره قدم,0
149,وينه دا وينه جبوولي هوا اتفاهم معاه,0
150,يااااو فديت الخشه,0
151,فعلا كلشي بسببها يالي قهرني بتتكلم الكاميرا طول الربورتاج بارش كانو النجمه لامعه بارش الحارس الشخصي ليش الانحياز الصحافه ليش نسيو نجوميه بارش شعبيتو تركيا راحت الهيبه بتاع بارش صحافه تافهه صراحه,0
152,ياارب متاخدكيش الجلاله تانا وتقاوحينا اقولك هتكسلا كده,0
153,انتي بتفضحي البت عشان مش هتشوفها,0
154,لقطه جولاق حمستني قهرتني الصور,0
155,شعب الله المتحشر,0
156,الخير,0
157,انا قاعده بالبنك ناطره دوري سمعت موظفه عم تلقي محاضره طبيه لزبون سعل عده مرات قدامها بلشت تحكيلو فواءد الدوش,0
158,عشت فا البلد سنيين طوال وشفت استفتاءات وانتخابات عجيبه وغريبه عمره شفت فا سخافه اللا بيحصل الان,0
159,واللي تقصر عباته شبرين وتطلع طويله,0
160,اوكي مو عطر رجالي يناسب بنت,0
161,نصاب لااحاد يشتري تفو يالجزمه,0
162,اوفففففر عااد الحريم مادري شفاحه قله ادددب  عيب والله,1
163,شوفي بوعصا شن كاتب,0
164,تبقا معديه ماتسلمش عليا فعنياااا ينفع كدا يرضيكوا لاااء لااءء لااء,0
165,صارت بالثانوي جيت متاخر ٧ وقالت طالعه واحد  المشكله اهلي موصليني المدرسه وانا كنت غبيه ساكته ماعرف اتكلم,0
166,الجايه ختي بدل تخلينا نفتش بتاعك,0
167,ياريت,0
168,دعايات زعل وخضرا التلفزيون الاردني بتمغص,0
169,برافو يا مريسيل اقسم بالله انك اذكا اعلامي يقولكم الدوري بالريوس يا جمهور الاهلي اتركو تكتيكه للدوري ليتحول للاهلي الاسيويه اضاعها الهلال بسبب المريسيل جعلهم يعيشون ترشيحه وسقطو متاهات ومصيده المريسيل كالعاده واكلهم اوراوا ساده,3
170,تقلقن حنوكك انت وياهم همداكم قسم اني مشغول واشغلتوني,0
171,وش هالشفاحه والانحطاط بالتاق اغلب البنات  العيال تغزلو ببنت ترامب اعذاركم السخيفه  نظل بنات عجبك امدحي اللي مو لازم العالم تعرفك انك مشفوحه الله يبلانا,1
172,الحظه السعاده ياويلكم ياعذال تهزاوا مكاني واصل حدي ههه كلام عادي وربي الزمن مردوا غدار الشيطنه,0
173,ابعتيلا طيب,0
174,ياخي اللي يقولون انها كلمات محسن تركي اشفييه ترا صدق بيقولون ماهي جريمه يعني وبعدين هاني يبي شو منجد السالفه البارح وباقي للحين,0
175,امه البيت كانت تناديه سلوم يعصب يقول تقولين سلوم اسمي سليمان والحين خطيبته تناديه لومي يرد اعصريني,0
176,ايه الفراغ ده,0
177,واللا استجدعنا معاهم طلعوا مش صافيين جواهم,0
178,ماتجي بااااااااااااااااااااااااااااااااااااااع,0
179,قاعد تشد وجهك وتلوي فمك وخشمك عشان تبان الغمازه مدري الحفره الي بوجهك ونظام خالف تعرف عشان رتويت يحمار الغلط غلط الانثا والذكر مو عشان العيال سوو غلط خلاص البنات يسون وثاني شي الرجال ازعجوه برزقه وبالنهايه تعصر وجهك الا بكره ماراح تكون زين وتتميلح,1
180,عطيتم الحريه وللاسف تصرف لاءق ابدا,0
181,يقرف عمرك ياباسل,0
182,امشي انت ماسورهه,0
183,الجوهره يتسع ل٦٠ الف ٨٤ الف كذبه تواردت,0
184,روح روح اندمجت حساب تنزل يومياتها والاماكن,0
185,سحقا ولامثالك,0
186,اللقطه الختاميه الي امس,0
187,تكون بتتفرج الماتش وامك تقولك هات قناه زي الوان,0
188,الله يجعلني كليجا,0
189,المشكله دلوقتي يا جماعه ان بكره مش الجمعه الجمعه وخد التقيله بقي بكره كمان مش الجمعه,0
190,الفلووس ال بتبقا البنطلون ويتغسل بيهم,0
191,احسه اقول فهمتو,0
192,معلش يا زاتو بنكون مضايقين مش بنحب نتكلم رخمه اما بتبقي زعلانه,0
193,احلام اليسا ينعن ام الشخصيات الخرا متصنعات اكووووووووه ياربي,0
194,النت اهم حاجه بالدنيا,0
195,رجعوووووها لسعرها الاولي افضل,-1
196,انتحار جماعي,0
197,الحيوان الي بالصوره شنو عيوني اجعتني,0
198,موطن الورد غمازه حبيبي,0
199,صارت بامسي قتل تورغوت السلطان الخرا يبي يعدم ارطغرل,0
200,انت نوري ملاك نهال راين شهد ويسو ومنال بنت شهد طولهم وسط البقيه سنافر الفراشه مشكوك طولها,0
201,برب بروح اشحنه,0
202,قالت مريم ياليتني مت تعلم بطنها نبي بعض الكربات تحمل طياتها كرامات تياسوا,0
203,مشافيييح يفشلوو,0
204,الله قصدي امدحج مالت,0
205,رخمه ياملافظ السعد قول الفنانه احلام,0
206,عيييب بنات يشوفون,0
207,مساعد جزار بينفع,0
208,وباقي تقولوا حنا خفيفين والله الخفيفين اسبوع خاقين جعلكم العما,1
209,الجنسين خرفان ويفشلوننن  تفو هالاشكال,1
210,باك,0
211,اعطل ايشي تقعد حد بكنكن,0
212,يمكن كذابه تتعاطفون مقطع كذذب انا شفت سنابها غسلت يدي,0
213,جماعه الوزير ترا الكويت مو وزير,0
214,ازيها دلوقت ماتت اسبوع بتموت قداما مش قادر اعملها حاجه ورحمه اما النهارده مش هقف ساكت,0
215,مدمني القهوه صحتييييين الطيبه,0
216,الهندي قاعد يثبت للمعزب الخروف صديقه يذبحه الله يستر ب,0
217,اخيييي يغار يقلب هالدنيا نار يعاتب بصرار ابوسه طااااف شي بووووح,0
218,شيء مخزي,0
219,عزيزتي الحياه تمگيجي بليز قرف يقرفك مشنعكك,0
220,انا مش هرد هناا لينا جامعه تلمناااا,0
221,شكل الشباب والبنات يبررون الفاسدات الي البايع والله مقرف ويجيب سالفه بنت ترامب اساس انه راضين ماكنه طلع هاشتاق يمنعون اللحوج الدشير بالتغزل الفاحش زي الفاحشات الي الرجال,1
222,اكتر ناس بتغلط وحياتها غلط اكتر ناس لسانهم الكلمه دي,0
223,والله صادقه ياروني الانفتاح بنظرهم والله يستر اللي جاي,0
224,الطريقه التانيه دي اضمن كامل مدفوع,0
225,ابغير البضاعه دامها للرجال اببيع قنابل الزوجات فعاله وتنهي الضحيه بلحظه تعطيه فرصه يتنفس,0
226,عزاه,0
227,شي ضدي اليوم,0
228,اشغلتو المسلم الله يشغل العدو ماقدر يبيع بسبب البهاءم الي كرامه والا حشمه,0
229,الله يضيق صدوركم كرهتونا شيء,0
230,ماهوووو,0
231,يا جماعه لا شوفوا حل فا ده علاء الاء علشان الانسان بيحرج كتير بسبب الحوار ده  اكتبوا اسمكم بالعربا يا جماعه,0
232,خاص للقوارير المعرض الجاي السم الهاري مجانا لاحيا ولامستحا يارب سلم سلم,0
233,وينك انتي الصبح ندورك,0
234,وصلنا ناس متخلفه لسا تقول طروش بحر,0
235,يارب اربي كلب,0
236,حابه تويتر بشكككل,0
237,استغفرك ياربي الحال اللي وصولو بناتنا قليلات الحياء والادب  ايش الجراه الوقاحه باقي شوي ويرمون حضنه شدو بناتكم ياعالم والمفروض يدبر احد يبيع بداله وكفايه تميلح,1
238,انصحك مره بخصوص دريكنقارد تعتبر السلسله الاساسيه ونير تعتبر الجانبيه روابط بسيطه باللعبتين,0
239,الجو يخليك غصب تروقيين,0
240,الي مو عاجبه يناظر,0
241,للحقاره عنوان اسمه ليليان داود ردي وافحامها قامت بعمل بلوك ينعل ابو القرف,0
242,خيانه,0
243,مازعلت ياتحريات كلب,0
244,صاحين مخرج الفلس مو حاط,0
245,هانت اليوم اخر يوم دوام,0
246,اليوم براسي احتمال شغالتك المستشفا سمح الله جتني,0
247,محد احسن احد متجمعين تقل غنم متجمعه علف,0
248,انت اكتب حكمه البارح مب حكمه اليوم خصم يومين راتبك,0
249,يا ظلي يا روحيي,0
250,مادري ليه ماانقرض اللي انقرضو,0
251,اي والله صدقتي تخسي,0
252,طولي ١٥٢ وزني ٥٠ واللي يقول سنفوره,0
253,مزالي فايقه بكير ولسا لنضع الاي لاييييينر,0
254,وانا اللي مستغربه هالتجمهر بركن القصيم قسم المعمول والكليجا  استغربت شفاحه الاكل اثاريه شفاحه شي ثاني,0
255,تم,0
256,انا الزلمه يحلفون باسمي,0
257,بعصب,0
258,يووووووه تاني مارينا مش عاوزه مش عاوزه,0
259,بنظرك زين,0
260,تنطم يقال شوفوني يابنات انا احامي اسلوب غبي قسم,1
261,ميسي حقق مجد لبلده وانا مكنتش اتفرجت حاجه دا اولا ثانيا علشان رايي ضدك يبقا بتفرج كوره شراب معلش ابقي غطيها المره الجايه وانت نايم كويس علشان متبردش وكسم ميسي لكسمك,3
262,وزير النقل اليمني يفضح دور الامارات الاضرار باليمن واهله  طريق منع مشاريع التنميه ودعم الجماعات والميليشيات الارهابيه  فضحنا الله يعافيه,1
263,اشوف خويي ينضرب,0
264,الاسف تفاءلت لكثره اعلاناتكم الاعلانات شيء والواقع شيء اخر مكتوب ان التذكره مسترده ويوم جيت الغي الحجز الموظف يقولي لايمكن الغاء الذهاب الغاء العوده علما بان موعد الرحله يومين ورسوم الالغاء لكامل الرحله يعني تقريبا قيمه الحجز,0
265,مهيا شوال سكر الله يخزيهم يا الله,0
266,زين الجالكسي,0
267,شا مخي مستشفا قريب,0
268,المحاضرات يوم لمده ال ايام بتبقي الساعه ونص اشوفك فيكوا يوم ياللي حاطيين الجدول,0
269,اتكلمي معايا بتقاها اكتر كدا سمحتي,0
270,ويش الحلم الكوميدي الاكشن الدراما السيره ذاتيه,0
271,قصيمي ومكرش,0
272,انيوو بنات عضوه جديده ممكن دعم اردها,0
273,اول ميد اللي بعدوو,0
274,رزقهم يجي معاهم,0
275,شف خصم الهلال ووسع صدرك باذن الله نحتفل بالدوري رقم وفي مباراه ال,0
276,زينه,0
277,مكان الطقه ازرق ينعالل,0
278,داءما مواضيعهم تافهه,0
279,وسع وسع وسع لبزاز البقره الحلوب سماح اجمل بقره تويتر الكل يعمل ريتويت للبقره عشان اخلي المعرص حسام جوزي يصورني اكتر,0
280,العطور,0
281,اتوقعك راسك بينفجر الحقد,0
282,شلون الله يرحمها وانت تقول انها هندوسيه مب مسلمه صحيح انك,2
283,وين الرجاجيل قبيلتي نشوفهم,0
284,بشره للبنات تكونو جهل قوم لوط الله يمحيكم يامخفه,1
285,اقراء كلامه حرف حرف,0
286,الله الوكيل شكلهم ناويين يطيرون سييرا,0
287,اهنيك صباحي صاير ممسوح بتراب ماشفت المقطع حق التجمهر,0
288,شكل انا الوحيده الي احب الماكولات البحريه اللحم,0
289,هين ام شعفه,0
290,الكارثه وجود الغيامه الاعلام,0
291,هالنوعيه انت تقتنع اوعا,0
292,وربي غباء خير,0
293,الحمدلله عافانا اجتمع قله الدين قله الادب وقله الحيا يعععععع الله يفشلكم,0
294,اشوا,0
295,عز قول لرايد ينتبه للخصم ويحضر الفقرات لايختفي,0
296,مالك دخل يصور الي يبي يععع,0
297,مش هقول,0
298,اقووووووووووول ترا غثيتونا اعوذ بالله الفضاوه هالناس خلاص قروشه قسم بالله,0
299,مررره مو لهدرجه فشلتوووونا الله يامشافيح,0
300,يمدحك ترااااك انت اناااا,0
301,لان المسجد باسم ياتيس خطيب جمعه يطرد اليمنين والمصلين السعوديين المسجد ويقول ان المسجد مخصص لابناء القباءل السعوديين رفيعي النسب يوجد رجل رشيد,1
302,ياساترررررر صدمه الموسم والقرن رينز يفوز سترومان ويروح المينيا,0
303,طبعا ماشفت اليوتيوب انقهرت شخصيه سامي بالفيلم مسوينه ولد مهزوز بالحقيقه رجل والرجال قليل,0
304,يا زينك ساكت,0
305,امتحانها شرات ويها,0
306,لااااااا كثيييير,0
307,اقسم بالله البنات هالايام مصاختهم زايده وذره حيا ماعندهم انا اتبرا هالفءه,1
308,اوفر اللي قاعد يصير,0
309,انتباه يا مجنده مش انتباه انا مخصماك,0
310,هاااي,0
311,شوفي يعني انا الترخيص عم اتخيل شكلك الخماره هاي الشتا متاكده الخماره,0
312,الريس بالواجب ورزع جون فا الصميم والدور نكمل بالمقاطعه المنتج المصرا اهم واولا,0
313,اذا القوا القبض يا مجرم تشاهد نقل السفاره الا ارض وعاصمه فلسطين المغتصبه,0
314,طب الله زاكي مفيش ثقه خالص ايه ده,0
315,الحمدلله اكيد تغارين اللغه احم احم اتحداك وت از يور نيم  جاوبي بالانجليزي يالله,0
316,سمح تكتبه,0
317,مدري بتفاءل بيوم الاثنين وبدايته حنان,0
318,لاتبرر للبنات بغض النظر الي يعملونه الرجال  الي سووه البنات قله ادب وتريبه وشفاحه,1
319,مصر,0
320,صباحك ورد يا التاهو مافيه روج,0
321,المررررجللهه مقطع,0
322,ماعندي فلوس مهر,0
323,اعوذ بالله انعدام حياء طبيعي الرجال استحا وانتم مااستحيتم والله يالي صورتي جراءه فضيعه الله يستر يارب,1
324,طيب وغرفه عز الجديده يارب يلقون احسن  وبعدين راعي الشقه ليه طلعهم,0
325,كلاس ملل  برقد,0
326,زق ياكذااابه,0
327,اوووووه شدراني انا راسك ماتشوف يقولون متر مترين وغرفه وصاله وحمام ومادري شنو بالي قطر,1
328,يا جربوعه يا اساس جهاد النكاح والداعشيات يا داعشيه دخل باسيادك المصريين احرار خلي يطفحوكم يا اساس الخراب الدول العربيه يا شويه ارهابيين الا فين ام واخت بو عزيزي كويسين كندا لسه عايزين تحويلات هارمنا اشكالكم يا خنازير الاخوان الارهابيين,3
329,الحياه بالنسبه اصبحت كراءحه سندوب,0
330,هالمووسم ساااااااااااااااااااااامج بجداره مستواها مالها انحدار اللجنه استغفرالله يارب يح,0
331,والازق تبيني احبها غصبب,0
332,عاهات,0
333,حنا بحاجه للدورات اللي فايده بحاجه لنرجع زي تعليم اول تعبنا جهدنا التدريس مو الخرابيط والاعمال اللي يكلفونا طاقتنا,0
334,اللي مصبر الارض هالسماجه اللي,0
335,الي تصور شدت حيلها شوي باسته قدام الخلق يلعنم الرخص,0
336,هههههه يمكن احسن وجهك,0
337,كيفني معاكم وانا ادلعكم بالمعنويات يوم تسب الا ابوك انت يا ال,0
338,بسناب منزلينه وربي رفعه ضغط الولد جدددا عادي اشوفه اقل عادي والله احس البنات مسحورات والله انه مو جميييل والله,0
339,مراحل نفسيتي تقدم السنين,0
340,رايك احتفظ,0
341,اصلا العربيه جابت هالخبر استغربنا متعودين اخبارها السخيفه اللي تظهر للعالم ابيخ صوره للشعب السعودي,5
342,دحوم,0
343,ممممرههه,0
344,تجلس زبي وتجلخ بزبك وتمحن مقحبهه انزل بخرقكك واغرقه بحليبي,0
345,محااضره شوووه القصف عاادي خليهم يقصفووگ,0
346,استغفر الله انا قليله الادب,0
347,هذوله النهاب احنه الي صعدناهم لازم نلوم انفسنا اولا واخرا قصه لاتخلوا عبره منين,0
348,بسم الله الدكتور داز عشان يذكرنا بداوم باجر يعني درينا خلاص,0
349,ليه حياتنا جامعه بنذاكر شيتات مش ربناا خلقنا عشان نعبدو,0
350,بقا كفايه كابه,0
351,مين بيتجسس زيه محارمه يجي خااص رتويت,0
352,مسقط المطعم مقرف والدكتور مش عاجبو توزيعه,0
353,امحق منشن,0
354,اذاكر بالجامعه,0
355,كويس حصلتك المنشن  مانته تقول ٢ بيلغون الرسوم  الله يسامحك فرحتنا,0
356,شاءالله اي شي تسون هشتاق مره ام غمزه ومره بايع كليجه صج فاضين,0
357,مترجم خيانه صديق ابي اروع يفوتكم خميس نيك سكس بزاز,0
358,اسبوع لازم اتهاوش بقروب ماده يا انا ادور الهواش يا يبون احد ينعلهم,0
359,الي يشره البنات الي معجبهم يتذكر ان بنات ميتين الاشكال ويهون الموضوع,0
360,والله انه جميل شاءالله انتم تغارون منو,0
361,استغفرالله يالله خير صراحه مااشوف زود هشتاق مختبين شدعوه تقل اول مره تشوفون رجل فضحتونا هههههههههه استغفرالله كرهت الكليجا عيب هدو اللعب حبايبي استحا غطا وجهه بالكيس,1
362,مشششششش غييييييييير,0
363,شكرا جدا,0
364,مسسسس الشكبات تمدحني خلتني اتحسرت زياده انه تخصص شبكات للبنات,0
365,هههه,0
366,عزيمه مناسبه ليش التعب ريح راسك واطلب ذبيحتك خدمه توصيلها لباب منزلك يكفيك شر عناء سوق الغنم اطلب ذبيحتك الان وفصلها مزاجك للطلبات عبر الموقع,0
367,الله يبرد حرتكم المخربيات حثاله العالم,1
368,لماذا السقوط يا جميله بو حيدر,0
369,كسم دا كليه عالكسم دا جامعه معرصه,5
370,التاق يدعو لل يلي تطلب رحمه الله تستحي وجهها,0
371,ذكروني ماقلت بغيب عشان اذاكر والعنو شكلي,0
372,نخليك فالبر وبدري,0
373,الكويت,0
374,الحين هذوا مجنسات او سعوديات اصل منشا,1
375,انا اصحا تهاني تنام انا اصحا تهاني تطلع ماعندها شبكه وبعدين يعني,0
376,تم احبك اكثر مسلسلاتي دحمي,0
377,صييييييييح يا,0
378,اللي يقولو جميله منقبه منجدهم,0
379,بكره الكلمه دي اوووي,0
380,بدا اسالگ ما اشتقت لراحه كلاما حين تثور وتغضب ما اشتقت لخناق,0
381,اللي استحو ماتو اللي يفشلكم ضحكتم العالم ياخساره تربيه اهاليكم هباءا منثورا اول مره تشوفون رجال وعادي شكله ومااردا الا العربيه نشرت غسيلنا قدام العالم وقدام اللي يسوا ومايسوا,1
382,حتي الخاتم لبساته ملابسهش اعيه شنو,0
383,انا الشي اللي استوعبته تجي طحينيه جبن,0
